snapped_at,price,market_cap,total_volume
2021-12-01 00:00:00 UTC,1.0082343193433811,7640533592.894078,177338233.3057318
2021-12-02 00:00:00 UTC,1.0035871626171537,7674207402.5543165,117903129.04258856
2021-12-03 00:00:00 UTC,1.0006893093349827,7773951136.209465,194807731.0024443
2021-12-04 00:00:00 UTC,1.0004619324567132,7884418935.343258,269114412.7331535
2021-12-05 00:00:00 UTC,1.0013753862652066,8007154584.398517,396101719.8491017
2021-12-06 00:00:00 UTC,1.0027333228142883,8148353673.604484,254954585.70029885
2021-12-07 00:00:00 UTC,1.0002533467841288,8237853799.148417,266117185.21608904
2021-12-08 00:00:00 UTC,1.0028935249853412,8338427927.656119,179012170.68559536
2021-12-09 00:00:00 UTC,1.0021668022391492,8465127378.621724,169590220.9270313
2021-12-10 00:00:00 UTC,0.998623055607834,8562381898.073944,231791962.423165
2021-12-11 00:00:00 UTC,0.9987694662118332,8615419862.190565,211997854.8446202
2021-12-12 00:00:00 UTC,1.0001116654260576,8633575158.474459,169798433.6087275
2021-12-13 00:00:00 UTC,0.9990625662282924,8648223382.214651,103594044.50962797
2021-12-14 00:00:00 UTC,0.9982378698338343,8704613275.704573,181966456.6433239
2021-12-15 00:00:00 UTC,1.0018102480463387,8782368948.9035,185090622.41937506
2021-12-16 00:00:00 UTC,1.0013522107192974,8789912637.786066,181659316.88867322
2021-12-17 00:00:00 UTC,0.9992996483311952,8781289057.453386,130300561.94084218
2021-12-18 00:00:00 UTC,0.9995211876536838,8822626084.751389,159271329.3861506
2021-12-19 00:00:00 UTC,1.0015327326594814,8914815188.930782,226167393.20920894
2021-12-20 00:00:00 UTC,1.0001710095638339,8964090958.678959,149961373.0954652
2021-12-21 00:00:00 UTC,1.004598092528419,9191734978.305964,228794564.4710345
2021-12-22 00:00:00 UTC,1.0051170015546387,9325236857.30574,199624885.65415162
2021-12-23 00:00:00 UTC,1.003606799954351,9485666164.137058,269812557.37832564
2021-12-24 00:00:00 UTC,1.0043291697459904,9623396015.836044,196734000.1904783
2021-12-25 00:00:00 UTC,1.0040719449393534,9787157835.200888,242002008.51361158
2021-12-26 00:00:00 UTC,1.001717907031289,9904722624.76492,169204492.06428835
2021-12-27 00:00:00 UTC,1.002638454050185,9958033237.897125,164145221.8647704
2021-12-28 00:00:00 UTC,1.0011848299502832,10031080239.421406,182000572.98266062
2021-12-29 00:00:00 UTC,1.001980506055416,10063782296.193039,186419130.06886938
2021-12-30 00:00:00 UTC,1.0047587049507254,10045365681.121069,171441263.13417643
2021-12-31 00:00:00 UTC,1.0026733068143618,10128455990.714771,179372154.03743088
2022-01-01 00:00:00 UTC,0.9992706222145092,10135310921.656916,169797654.54440328
2022-01-02 00:00:00 UTC,1.0058296548921881,10163834118.755135,143190914.85099253
2022-01-03 00:00:00 UTC,1.0021562639537709,10150368763.707031,105447011.59621352
2022-01-04 00:00:00 UTC,1.0021130995574612,10257790611.25736,158217004.1345774
2022-01-05 00:00:00 UTC,1.0009078006632974,10329098171.523268,223862226.34726933
2022-01-06 00:00:00 UTC,1.003417969725726,10409822848.766726,276893029.9510318
2022-01-07 00:00:00 UTC,1.002931251833035,10433344721.977455,279904671.71985126
2022-01-08 00:00:00 UTC,1.0035388022285223,10444976280.842844,411622922.12018585
2022-01-09 00:00:00 UTC,0.9979392826683869,10450726987.130836,283462671.46469426
2022-01-10 00:00:00 UTC,0.9991068354438142,10434515920.226606,231431276.26417872
2022-01-11 00:00:00 UTC,1.0021767386359064,10513262057.925774,314152364.8576691
