snapped_at,price,market_cap,total_volume
2021-12-01 00:00:00 UTC,57011.28047424234,1076804436724.3245,35723038603.83064
2021-12-02 00:00:00 UTC,57169.37199381056,1079838995016.5873,49383073891.00049
2021-12-03 00:00:00 UTC,56508.26805402271,1067406204922.5636,36296342256.75686
2021-12-04 00:00:00 UTC,53785.96717237922,1016040747069.7008,39527112725.92275
2021-12-05 00:00:00 UTC,49161.99070957517,930097457941.656,55941408415.03649
2021-12-06 00:00:00 UTC,49268.46989053938,932015145132.0604,32826574574.44167
2021-12-07 00:00:00 UTC,50461.57683653979,953396710269.5476,36126018721.826546
2021-12-08 00:00:00 UTC,50647.66340635755,956961313925.818,30083305919.5604
2021-12-09 00:00:00 UTC,50530.4580645934,954800139986.473,26590164539.05959
2021-12-10 00:00:00 UTC,47885.871989417064,904878061656.8508,27269362515.246876
2021-12-11 00:00:00 UTC,47303.56415217411,893919955029.865,29611257204.740986
2021-12-12 00:00:00 UTC,49242.302324071476,930603779263.9766,24619129766.774235
2021-12-13 00:00:00 UTC,50051.078348674855,945932497231.4797,19871029748.355583
2021-12-14 00:00:00 UTC,46696.30469946678,882570058436.5184,29628245402.124134
2021-12-15 00:00:00 UTC,48410.564656309325,915015634616.989,30152105689.95273
2021-12-16 00:00:00 UTC,48936.86258244155,925006387197.2257,33782603071.208714
2021-12-17 00:00:00 UTC,47694.530502251764,901558072618.6224,24699414443.565502
2021-12-18 00:00:00 UTC,46328.6963654447,875783175210.4042,30617760444.44956
2021-12-19 00:00:00 UTC,46970.057050727024,887944269264.0427,23305069269.64378
2021-12-20 00:00:00 UTC,46807.04861642627,884905649263.6449,23002876885.701263
2021-12-21 00:00:00 UTC,47117.008204210455,890808857615.3627,29356191956.181854
2021-12-22 00:00:00 UTC,49145.21725849885,929203956014.2224,25764127608.31085
2021-12-23 00:00:00 UTC,48755.89564404483,921888029984.8673,21887790445.928295
2021-12-24 00:00:00 UTC,50900.61494951601,960809259355.0854,26419703744.656948
2021-12-25 00:00:00 UTC,50888.72103678683,962312381228.0947,22535489970.197155
2021-12-26 00:00:00 UTC,50663.48710213215,958099737762.7762,17235296605.82555
2021-12-27 00:00:00 UTC,50852.860259540656,961723851972.3851,19632044502.131416
2021-12-28 00:00:00 UTC,50774.067814743,960280703699.8921,22793878136.833546
2021-12-29 00:00:00 UTC,47725.14804631933,902655839568.4547,29538983233.48695
2021-12-30 00:00:00 UTC,46506.99464767938,874314106559.5542,26348739119.378136
2021-12-31 00:00:00 UTC,47191.86838983951,892648631305.5416,23753871435.216618
2022-01-01 00:00:00 UTC,46319.65108805251,876192941903.0961,25895349604.886154
2022-01-02 00:00:00 UTC,47816.07767640849,904551946917.3206,18904585811.03402
2022-01-03 00:00:00 UTC,47387.212167697246,897536090320.9355,33756128241.98571
2022-01-04 00:00:00 UTC,46531.140860530526,880330191985.1965,21890019531.577713
2022-01-05 00:00:00 UTC,45938.02427172366,876242689666.1957,24895990583.663242
