snapped_at,price,market_cap,total_volume
2021-12-01 00:00:00 UTC,4637.121616831405,549758919636.0618,31531135168.773865
2021-12-02 00:00:00 UTC,4589.610617539151,544051345075.8544,27957934803.559887
2021-12-03 00:00:00 UTC,4519.441028028784,537814995667.8384,22586539837.216267
2021-12-04 00:00:00 UTC,4240.155516808957,502863051143.01685,27620915094.003757
2021-12-05 00:00:00 UTC,4101.656791810778,485429065737.4593,40547950440.47308
2021-12-06 00:00:00 UTC,4198.572874562462,497049834886.77576,25848780907.958004
2021-12-07 00:00:00 UTC,4347.615630598069,515778007028.56696,30676805365.753136
2021-12-08 00:00:00 UTC,4310.566646424531,511409310852.7245,21808603057.7599
2021-12-09 00:00:00 UTC,4431.540647139759,525850414062.19104,19661953642.45195
2021-12-10 00:00:00 UTC,4153.333310724186,494841071220.93524,22680202938.506203
2021-12-11 00:00:00 UTC,3918.200743402953,467266449092.32294,26799083668.888447
2021-12-12 00:00:00 UTC,4079.814930569866,484278596802.5053,19796149221.596004
2021-12-13 00:00:00 UTC,4135.841510137412,490316653455.3707,14046344322.674688
2021-12-14 00:00:00 UTC,3782.8952622347147,449137302105.9432,24089144863.40074
2021-12-15 00:00:00 UTC,3858.1644681806974,457658155854.8058,20766055169.54314
2021-12-16 00:00:00 UTC,4015.72254331389,476630620294.2814,26881290260.577652
2021-12-17 00:00:00 UTC,3971.5597663421136,471365651341.3005,19166579837.021267
2021-12-18 00:00:00 UTC,3886.7473617182886,462267569583.3989,23209497898.091805
2021-12-19 00:00:00 UTC,3966.4253516705508,471195598700.43604,18728700443.97014
2021-12-20 00:00:00 UTC,3928.8417238716206,467396185408.52454,15960000522.484169
2021-12-21 00:00:00 UTC,3950.4823919860964,471319155562.1543,21439121593.0351
2021-12-22 00:00:00 UTC,4036.549717813428,480570348192.474,16630181836.72027
2021-12-23 00:00:00 UTC,3992.5945766373156,475334762859.67194,14022344430.178228
2021-12-24 00:00:00 UTC,4113.529931874606,488290658809.1535,18571462177.267685
2021-12-25 00:00:00 UTC,4055.1173669313243,482498690510.26416,13351470832.627863
2021-12-26 00:00:00 UTC,4110.571870853741,488792890035.21063,11869342790.219467
2021-12-27 00:00:00 UTC,4075.03161894955,484795501758.7465,11815773894.02084
2021-12-28 00:00:00 UTC,4045.051350119327,481030381194.1921,11725230819.88359
