snapped_at,price,market_cap,total_volume
2021-12-01 00:00:00 UTC,1770.7973838063513,222447106.6578848,508102.0945910525
2021-12-02 00:00:00 UTC,1783.4582177679772,224010888.3127481,149270.39015265033
2021-12-03 00:00:00 UTC,1769.0433494806325,222369378.0810838,459764.456391205
2021-12-04 00:00:00 UTC,1780.7582775116555,224552951.38453943,570057.4664636843
2021-12-05 00:00:00 UTC,1790.3538823239107,260129893.46360648,2152794.0200429526
2021-12-06 00:00:00 UTC,1782.375052028996,259663290.3880355,534745.8015723468
2021-12-07 00:00:00 UTC,1788.1371855730176,295996877.0067322,161043.27350921687
2021-12-08 00:00:00 UTC,1785.1720184371807,296102946.6481657,187580.16885602303
2021-12-09 00:00:00 UTC,1784.6561570978704,296057193.9961552,164477.52572682037
2021-12-10 00:00:00 UTC,1770.8309408467276,294722574.0196878,294898.23261850927
2021-12-11 00:00:00 UTC,1785.0292437399303,295364423.1171477,699675.3869809315
2021-12-12 00:00:00 UTC,1786.993527312142,295916964.31044453,185735.88137039894
2021-12-13 00:00:00 UTC,1783.601878124964,295683073.7646495,144737.26063126526
2021-12-14 00:00:00 UTC,1784.3936359165696,296516814.26821446,573366.4341424176
2021-12-15 00:00:00 UTC,1774.155696776578,293967479.4307896,418862.6356464448
2021-12-16 00:00:00 UTC,1782.9198571067147,295168012.912865,373851.58001485234
2021-12-17 00:00:00 UTC,1794.9164294835791,297659533.5085498,295470.74393647374
2021-12-18 00:00:00 UTC,1795.7493933839519,297820776.7165371,1425747.6038707804
2021-12-19 00:00:00 UTC,1797.8336354002058,297906668.887975,483149.9694520788
2021-12-20 00:00:00 UTC,1795.836175134441,297828244.0995539,279814.8374320915
2021-12-21 00:00:00 UTC,1790.1849144084727,297982625.0522873,123956.88574367228
2021-12-22 00:00:00 UTC,1788.7277405723682,296726762.2666189,655535.9513394099
2021-12-23 00:00:00 UTC,1808.6635813551723,300003978.80125874,1940590.220552953
2021-12-24 00:00:00 UTC,1813.7612683206507,300809249.9553354,925557.702894224
2021-12-25 00:00:00 UTC,1805.9784705201687,299387815.62021923,423429.79259719414
2021-12-26 00:00:00 UTC,1808.26748154,300288021.8532261,325129.3716956127
2021-12-27 00:00:00 UTC,1809.1023282622982,300195188.9024749,343520.94099703827
2021-12-28 00:00:00 UTC,1812.6450567938427,300901682.0588134,349490.36763416434
2021-12-29 00:00:00 UTC,1806.4981100277244,299846689.32655066,1173166.6854468158
2021-12-30 00:00:00 UTC,1809.889837571583,298859826.6755838,1543292.0939107253
2021-12-31 00:00:00 UTC,1817.6379430921106,301326052.5384427,538359.9318944471
2022-01-01 00:00:00 UTC,1824.8867433280823,303265950.0223238,1925347.214589308
2022-01-02 00:00:00 UTC,1839.3791216278703,415674709.54137844,810310.7718320907
2022-01-03 00:00:00 UTC,1830.1196669702679,414524733.03712845,582415.6415510045
2022-01-04 00:00:00 UTC,1809.7907715360782,409732718.2828472,3534016.705178052
