snapped_at,price,market_cap,total_volume
2021-12-01 00:00:00 UTC,1774.0922892088217,318394685.54026717,9568752.440084921
2021-12-02 00:00:00 UTC,1784.9334882488552,319713680.3171526,7696004.8215583395
2021-12-03 00:00:00 UTC,1770.022604004977,317418254.4355876,8205633.617505267
2021-12-04 00:00:00 UTC,1787.3842899083966,319999477.0494563,12300160.713311655
2021-12-05 00:00:00 UTC,1782.5805188974064,318839320.5694203,25729480.417420864
2021-12-06 00:00:00 UTC,1783.9751429970581,319268188.11930215,11176684.19676362
2021-12-07 00:00:00 UTC,1781.474619789924,319147034.6313636,12515010.55796588
2021-12-08 00:00:00 UTC,1788.838832039014,320453572.1037989,6304637.508341285
2021-12-09 00:00:00 UTC,1785.4464959951886,320606239.8034138,5926359.370941841
2021-12-10 00:00:00 UTC,1774.0265147316354,319121375.57762045,8825845.24036078
2021-12-11 00:00:00 UTC,1779.7811864666105,319502965.06831664,8536422.666670417
2021-12-12 00:00:00 UTC,1779.3929963708276,321531474.30641496,6177925.67674247
2021-12-13 00:00:00 UTC,1784.852125856115,320701682.6598328,3139451.5091577787
2021-12-14 00:00:00 UTC,1789.5594410201586,321054825.1874195,9088327.593745984
2021-12-15 00:00:00 UTC,1779.421828494972,320629386.9753795,10337665.237479666
2021-12-16 00:00:00 UTC,1779.1526369832939,325704289.71192914,9987945.53705043
2021-12-17 00:00:00 UTC,1800.2255818011986,331395807.48487353,7715613.108604426
2021-12-18 00:00:00 UTC,1802.2332631122392,336514350.62091637,16329802.987371467
2021-12-19 00:00:00 UTC,1806.1397827593119,337110904.9159456,5339516.366469059
2021-12-20 00:00:00 UTC,1802.2616931959844,336516562.84730315,5895177.159409247
2021-12-21 00:00:00 UTC,1801.231204898442,336454583.48580474,8152025.267954447
2021-12-22 00:00:00 UTC,1795.368224401811,334204443.4538851,9418298.918446418
2021-12-23 00:00:00 UTC,1807.7166757221119,318834745.5630974,7081774.114563759
2021-12-24 00:00:00 UTC,1818.9957530406218,320039299.22194356,8061897.073408956
2021-12-25 00:00:00 UTC,1818.3849457206866,323542752.09195507,6080520.593027872
2021-12-26 00:00:00 UTC,1817.8584209130559,324225666.43633777,3060515.728249053
2021-12-27 00:00:00 UTC,1815.61726298023,322780173.81575716,3584178.592049201
2021-12-28 00:00:00 UTC,1818.0718589849346,323852874.0357676,4139552.768835748
2021-12-29 00:00:00 UTC,1810.3618269659255,322460447.54891145,8783490.539399166
2021-12-30 00:00:00 UTC,1811.7734665690089,321818146.6713168,11302786.635228058
2021-12-31 00:00:00 UTC,1826.8104758531158,324898504.98634243,6329843.5987838805
2022-01-01 00:00:00 UTC,1829.4804650569663,326389748.2540645,6658533.777098526
2022-01-02 00:00:00 UTC,1847.0641118488893,327505867.6811264,3509576.6599466046
2022-01-03 00:00:00 UTC,1836.608213578834,327184294.7557842,3232833.26048141
2022-01-04 00:00:00 UTC,1811.7799389702577,322590240.04659927,5404549.516043754
2022-01-05 00:00:00 UTC,1814.661874589958,329631938.9878906,4666493.795976915
2022-01-06 00:00:00 UTC,1826.282804289849,332140740.9761454,12912374.349750841
2022-01-07 00:00:00 UTC,1796.716436227717,320775022.7485418,27119607.81516885
2022-01-08 00:00:00 UTC,1804.6758237217325,325771736.6999146,10338842.41146344
2022-01-09 00:00:00 UTC,1790.4129925179154,323816207.74426395,7412521.691129646
2022-01-10 00:00:00 UTC,1795.144853520831,321852246.44141686,5844239.665255594
2022-01-11 00:00:00 UTC,1805.8809322679153,325870002.9162581,11388306.781836795
2022-01-12 00:00:00 UTC,1823.177478648426,329745182.7233259,6722472.387662913
2022-01-13 00:00:00 UTC,1835.0513759053479,331630055.4401307,8777901.19132354
2022-01-14 00:00:00 UTC,1829.359479875887,330568481.07975674,5782727.392855298
2022-01-15 00:00:00 UTC,1825.8844961775167,329769848.33649534,3914726.747584333
2022-01-16 00:00:00 UTC,1826.4837450612501,329555646.1431782,2785797.4446241916
2022-01-17 00:00:00 UTC,1825.7662876650663,329827595.64961886,1833265.8391104827
2022-01-18 00:00:00 UTC,1827.0962645457137,330120409.59336007,4507951.380883961
2022-01-19 00:00:00 UTC,1820.282906429632,328942167.6460823,5676014.289557905
2022-01-20 00:00:00 UTC,1848.9242962502358,333683548.80621475,8933087.82671275
2022-01-21 00:00:00 UTC,1840.5799162491412,332917952.4508869,9567320.083882261
2022-01-22 00:00:00 UTC,1823.1670260823037,331908325.59836394,21649230.272934582
2022-01-23 00:00:00 UTC,1845.2163389609946,335813392.62603074,22603006.53002931
2022-01-24 00:00:00 UTC,1848.637260609632,336323977.8272746,12322740.545285292
2022-01-25 00:00:00 UTC,1857.7265115752004,337670248.52142,21022140.478250466
2022-01-26 00:00:00 UTC,1861.3560592294887,340732542.11318,14240571.374387024
2022-01-27 00:00:00 UTC,1824.2047366412612,339064825.2491269,22535857.822594993
2022-01-28 00:00:00 UTC,1812.3318400977807,343646070.5524855,14910596.788895587
2022-01-29 00:00:00 UTC,1800.1904043072338,349669498.2759228,11699258.070475178
2022-01-30 00:00:00 UTC,1802.5500250124862,350319114.9145856,7064637.239089926
2022-01-31 00:00:00 UTC,1799.638629047682,349467074.7017603,4732978.265538511
2022-02-01 00:00:00 UTC,1808.3099494387193,354975776.7080004,7647598.248581583
2022-02-02 00:00:00 UTC,1809.4981891848888,355885841.2229457,6765674.816625139
2022-02-03 00:00:00 UTC,1815.648065348224,356860707.22773474,7807123.264245411
2022-02-04 00:00:00 UTC,1815.3965738677305,357341273.7490011,6960858.410503314
2022-02-05 00:00:00 UTC,1826.6120886658223,358866707.0763505,10596575.514693856
2022-02-06 00:00:00 UTC,1814.651054640003,357508180.265786,7286446.870515318
2022-02-07 00:00:00 UTC,1820.4435827044797,358399728.73677546,7415680.4196358
2022-02-08 00:00:00 UTC,1826.8214005095988,359207703.857338,9733240.332950944
2022-02-09 00:00:00 UTC,1833.7880386277977,360639486.5041036,9532155.366217997
2022-02-10 00:00:00 UTC,1841.2630539163101,364556522.7434358,6985015.616973755
2022-02-11 00:00:00 UTC,1833.4527565420508,362556947.6203401,10639361.139405822
2022-02-12 00:00:00 UTC,1872.9095517563435,375528295.31304073,18371134.04415165
2022-02-13 00:00:00 UTC,1877.786293775367,376427282.9377795,25484684.837129474
2022-02-14 00:00:00 UTC,1886.1862358217256,378313993.93801117,16563253.633895546
2022-02-15 00:00:00 UTC,1882.9842629933414,378355556.3361384,26710579.947209083
2022-02-16 00:00:00 UTC,1857.9642070570808,387278832.9188002,27104514.044215675
2022-02-17 00:00:00 UTC,1875.869295506127,391754522.5231523,12943686.57118144
2022-02-18 00:00:00 UTC,1918.152466031774,400134494.5870135,29860559.996574737
2022-02-19 00:00:00 UTC,1916.3960334560309,424531424.9671441,27654022.47130353
2022-02-20 00:00:00 UTC,1922.7686639002734,425024709.7464618,13469070.698978549
2022-02-21 00:00:00 UTC,1936.3989167113493,429032166.7562576,30797522.519678142
2022-02-22 00:00:00 UTC,1953.614486739019,432164340.7652546,36675924.861965336
2022-02-23 00:00:00 UTC,1909.8689412339409,439614473.21589774,42999266.71752002
2022-02-24 00:00:00 UTC,1923.229430790757,455644889.38373435,21423779.914532486
2022-02-25 00:00:00 UTC,1939.3095904896704,469894350.19208235,204946649.24615234
2022-02-26 00:00:00 UTC,1902.692240747929,524614024.4160723,41878141.3033187
2022-02-27 00:00:00 UTC,1893.5917993177209,525058753.6080942,17832013.3410948
